dataset,split,Gaussian Process,XGBoost,FFNN,gp_rmse,xgb_rmse,ffnn_rmse
Ephrin,RND_08,0.6375639198672342,0.5753325478598509,0.6049498593226905,0.6555762598389412,0.7096300439450479,0.6844372162481422
Ephrin,RND_09,0.6998534332490634,0.6495453217982117,0.6317674132635074,0.5960421486367463,0.6440598291219222,0.6601937232376369
Ephrin,SCAF_00,0.33335623227894184,0.21714981279313827,0.1768613601219856,0.8506366669628973,0.9217996043564284,0.9452216967696903
Ephrin,SCAF_01,0.550401222316443,0.5251976984026958,0.48362510341486187,0.8236908488635654,0.846463211643261,0.8827429151271433
Ephrin,SCAF_02,0.6043556469501985,0.5288327714889192,0.5302169255811745,0.7291605639169799,0.7957162447293472,0.7945465920934588
Ephrin,SCAF_03,0.35571091052544435,0.2973392125834141,0.2519342086338625,0.8617157407809893,0.8999046516628211,0.9285248587007701
Ephrin,SCAF_04,0.3850693277863635,0.24700538731636257,0.36153323325678277,0.798169477809766,0.8832384620471628,0.8133007757632069
Ephrin,SCAF_05,0.47822538397358105,0.40352720808717124,0.28702897802219063,0.7764849762789304,0.830207978509159,0.9076690417686131
Ephrin,SCAF_06,0.49729888318351256,0.2552873295257887,0.39254239751122144,0.706819307148384,0.8602958946126059,0.7769829070736006
Ephrin,SCAF_07,0.4527619218473715,0.4026746548921032,0.3681079237070489,0.8262641860627322,0.8632493216591036,0.887875820787235
Ephrin,SCAF_08,0.5329702553400087,0.5037941258792025,0.3657677226212458,0.7873659951013608,0.8115874719682349,0.9175474953529419
Ephrin,SCAF_09,0.49220237896805363,0.39423169175540773,0.49282225218857534,0.7857049338051744,0.8581583324581699,0.7852252287503663
